epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7615.13,0.87587,0.37642,0.8034,0.96913,0.95121,0.97988,0.60579,1.37518,0.53837,0.84696,0.0011684,0.0011684,0.0011684
86,7705.44,0.88185,0.37922,0.80489,0.96824,0.9579,0.97772,0.61681,1.34784,0.53072,0.84646,0.0011585,0.0011585,0.0011585
87,7795.64,0.87019,0.37486,0.8037,0.98093,0.95398,0.98145,0.65262,1.18438,0.47269,0.83286,0.0011486,0.0011486,0.0011486
88,7884.52,0.87581,0.37441,0.80297,0.97798,0.94949,0.97905,0.65263,1.19095,0.48892,0.83321,0.0011387,0.0011387,0.0011387
89,7973.74,0.86359,0.3706,0.80441,0.97133,0.95623,0.98114,0.59395,1.41514,0.54482,0.8511,0.0011288,0.0011288,0.0011288
90,8062.61,0.86568,0.37356,0.80263,0.96599,0.95622,0.98044,0.6022,1.39997,0.5351,0.85018,0.0011189,0.0011189,0.0011189
91,8151.9,0.87046,0.37295,0.80258,0.9738,0.95952,0.98109,0.63925,1.25437,0.4985,0.83813,0.001109,0.001109,0.001109
92,8240.82,0.85941,0.37212,0.80137,0.96595,0.95398,0.97908,0.6137,1.34035,0.52252,0.84556,0.0010991,0.0010991,0.0010991
93,8329.83,0.86709,0.37091,0.80511,0.97116,0.94837,0.9794,0.60847,1.37202,0.53737,0.84667,0.0010892,0.0010892,0.0010892
94,8419.26,0.86652,0.37,0.80279,0.98085,0.96296,0.98439,0.64719,1.21247,0.48187,0.83362,0.0010793,0.0010793,0.0010793
